Constituent Number,Relation Type Lookup,Company(Y|N),Constituent Number Relation,Company Relation(Y|N)
11012,Spouse,0,11011,0
7264,Spouse,0,773,0
6946,Spouse,0,6945,0
12387,Spouse,0,12388,0
773,Spouse,0,7264,0
6945,Spouse,0,6946,0
6945,Employer,0,8495,1
11011,Spouse,0,11012,0
777,Spouse,0,778,0
778,Spouse,0,777,0
9131,Spouse,0,9130,0
9130,Spouse,0,9131,0
172,Employee,1,307,0
172,Employee,1,7252,0
5642,Spouse,0,5643,0
5643,Spouse,0,5642,0
7387,Spouse,0,7388,0
7388,Spouse,0,7387,0
14924,Spouse,0,19090,0
14924,Owned Organization,0,8463,1
19090,Spouse,0,14924,0
9892,Spouse,0,2145,0
2145,Spouse,0,9892,0
2609,Spouse,0,2608,0
2608,Spouse,0,2609,0
12726,Employer,0,1487,1
7577,Owner,1,532,0
783,Spouse,0,784,0
784,Spouse,0,783,0
19765,Spouse,0,19322,0
12679,Spouse,0,12654,0
12654,Spouse,0,12679,0
12654,Employer,0,134,1
19322,Spouse,0,19765,0
6939,Spouse,0,6938,0
6938,Spouse,0,6939,0
6869,Spouse,0,6868,0
7379,Employer,0,139,1
7379,Spouse,0,2507,0
6868,Spouse,0,6869,0
2507,Employer,0,139,1
2507,Spouse,0,7379,0
5019,Spouse,0,6685,0
6685,Spouse,0,5019,0
11408,Spouse,0,19335,0
27963,Employer,0,28635,1
27963,Team Member,0,28204,1
27963,Father,0,786,0
19335,Spouse,0,11408,0
786,Child,0,27963,0
8506,Employer,0,1487,1
5391,Spouse,0,5392,0
5392,Spouse,0,5391,0
7913,Spouse,0,7914,0
7914,Spouse,0,7913,0
787,Spouse,0,788,0
787,Employer,0,8495,1
788,Spouse,0,787,0
12016,Employee,1,7149,0
5339,Spouse,0,5338,0
5338,Spouse,0,5339,0
5928,Spouse,0,5927,0
5927,Spouse,0,5928,0
9243,Spouse,0,9242,0
9242,Spouse,0,9243,0
794,Spouse,0,795,0
795,Spouse,0,794,0
797,Spouse,0,796,0
796,Spouse,0,797,0
7652,Spouse,0,7651,0
7651,Spouse,0,7652,0
798,Spouse,0,799,0
2862,Spouse,0,2032,0
8989,Spouse,0,4033,0
2032,Spouse,0,2862,0
2032,Employer,0,183,1
2307,Spouse,0,2308,0
8941,Spouse,0,8942,0
4033,Spouse,0,8989,0
799,Spouse,0,798,0
2308,Spouse,0,2307,0
8942,Spouse,0,8941,0
1704,Employer,0,1304,1
800,Spouse,0,801,0
