,Donation ID,Constituent Number,Received Date,Donation Amount,Thank You Letter ID,Thank You Letter,Fund Name,Campaign Name,Co-Donor Exists,DonationSize_onehundred,Recurring Donor
262,1262,13139,9/4/2014 0:00,365,,,Friendraiser Banquet,2014 In Kind,1,1,1
263,1263,13139,9/24/2015 0:00,665,,,In Kind,2015 In-Kind,1,1,1
264,1264,13139,12/30/2015 0:00,500,,,Macedonia,2015 Cornelius Chris,1,1,1
265,1265,1621,4/17/2012 0:00,400,,,In Kind,2012 In Kind,1,1,1
266,1266,1640,12/14/2015 0:00,1600,,,Macedonia,2015 Cornelius Chris,0,1,1
267,1267,1652,6/1/2012 0:00,400,,,In Kind,2012 In Kind,0,1,1
268,1268,1652,9/25/2012 0:00,18000,,,In Kind,2012 In Kind,0,1,1
269,1269,1652,6/23/2014 0:00,229,,,In Kind,2015 In-Kind,0,1,1
270,1270,1661,9/24/2015 0:00,800,,,In Kind,2015 In-Kind,0,1,0
271,1271,1662,11/11/2011 0:00,50,,,In Kind,2011 In-Kind,1,0,1
272,1272,1668,5/21/2014 0:00,10.09,,,In Kind,2014 In Kind,0,0,1
273,1273,1676,12/31/2014 0:00,200,,,Macedonia,2014 Cornelius Chris,0,1,0
274,1274,1695,3/28/2013 0:00,300,,,In Kind,2013 Macedonia,0,1,1
275,1275,1704,5/7/2015 0:00,25,,,In Kind,2015 Golf Classic,0,0,1
276,1276,1714,3/31/2012 0:00,1000,,,In Kind,2012 Special Kids Ra,0,1,1
277,1277,1714,4/16/2013 0:00,2500,,,In Kind,2013 Special Kids Ra,0,1,1
278,1278,1714,5/8/2014 0:00,250,,,In Kind,2014 Golf Classic,0,1,1
280,1280,1718,12/31/2014 0:00,700,,,Macedonia,2014 Cornelius Chris,0,1,1
281,1281,1718,12/30/2015 0:00,800,,,Macedonia,2015 Cornelius Chris,0,1,1
282,1282,1719,3/31/2012 0:00,2500,,,In Kind,2012 Special Kids Ra,0,1,1
283,1283,1719,4/16/2013 0:00,5000,,,In Kind,2013 Special Kids Ra,0,1,1
284,1284,1719,7/24/2013 0:00,778.5,,,In Kind,2013 In Kind,0,1,1
286,1286,1719,3/22/2014 0:00,1500,,,In Kind,2014 Special Kids Ra,0,1,1
287,1287,1719,9/27/2014 0:00,100,,,In Kind,2014 In Kind,0,0,1
288,1288,1719,2/1/2015 0:00,616.45,,,In Kind,2015 In-Kind,0,1,1
